Date,Open,High,Low,Close ,Adj Close ,Volume
3-Oct-24,23.67,24.5,22.93,23.22,23.22,"9,610,000"
2-Oct-24,23.98,24.29,23.01,23.84,23.84,"8,763,000"
1-Oct-24,25.9,25.95,23.42,24.1,24.1,"12,264,200"
30-Sep-24,25.5,27.25,24.97,26.15,26.15,"15,948,000"
27-Sep-24,23.15,25.56,21.68,25.32,25.32,"24,274,100"
26-Sep-24,24.63,25.35,23.82,23.83,23.83,"9,862,100"
25-Sep-24,25.8,25.92,24.36,24.39,24.39,"10,986,100"
24-Sep-24,26.44,26.9,25.27,25.85,25.85,"8,430,000"
23-Sep-24,26.62,27.1,25.91,26.61,26.61,"7,277,600"
20-Sep-24,28.45,28.84,25.67,26.5,26.5,"18,870,200"
19-Sep-24,29.15,30.51,28.03,28.61,28.61,"14,703,300"
18-Sep-24,28.34,29.65,27.46,28.3,28.3,"10,937,500"
17-Sep-24,30.37,30.6,27.6,28,28,"13,548,400"
16-Sep-24,28.97,29.98,27.4,29.84,29.84,"13,323,900"
13-Sep-24,26.79,30.93,26.5,29.83,29.83,"25,794,500"
12-Sep-24,26.7,27.05,23.54,26.79,26.79,"25,223,800"
11-Sep-24,26.89,28.39,26,27.9,27.9,"16,135,000"
10-Sep-24,26.24,26.69,24.37,26.11,26.11,"15,132,500"
9-Sep-24,26.63,28.25,25.61,25.94,25.94,"13,431,400"
6-Sep-24,28.71,29.58,25.8,26.11,26.11,"17,645,500"
5-Sep-24,29.28,30.43,26.4,28.45,28.45,"41,445,700"
4-Sep-24,31.99,36.54,28.9,33.08,33.08,"43,765,000"
3-Sep-24,29.3,29.85,28.03,29.41,29.41,"9,855,500"
30-Aug-24,28.97,31.6,27.93,29.04,29.04,"16,165,900"
29-Aug-24,27.9,30.44,27.71,29.25,29.25,"15,876,500"
28-Aug-24,29.91,30.6,27.57,27.87,27.87,"20,565,800"
27-Aug-24,33.01,34.87,30.43,31.11,31.11,"14,778,800"
26-Aug-24,33.49,34.31,30.74,33.78,33.78,"17,618,600"
23-Aug-24,34.59,37.16,32.08,32.86,32.86,"25,736,700"
22-Aug-24,36.7,36.7,33.51,34.14,34.14,"20,021,700"
21-Aug-24,34.13,39.08,32.42,36.44,36.44,"36,381,900"
20-Aug-24,38.79,38.99,31.91,34.32,34.32,"32,419,000"
19-Aug-24,31.35,38.85,30.83,38.6,38.6,"37,779,900"
16-Aug-24,30.37,36.87,27.71,31.03,31.03,"68,766,300"
15-Aug-24,21.8,33.58,21.58,31.36,31.36,"75,966,100"
14-Aug-24,21.11,21.73,19.77,20.81,20.81,"10,504,900"
13-Aug-24,19.95,21.15,19.36,20.96,20.96,"7,373,000"
12-Aug-24,20.96,22.08,19.51,19.73,19.73,"11,265,500"
9-Aug-24,22.83,23.04,20.5,21.21,21.21,"14,796,200"
8-Aug-24,19.88,22.36,19.59,22.32,22.32,"13,369,100"
7-Aug-24,19.7,21.9,19.35,19.64,19.64,"14,939,100"
6-Aug-24,19.3,19.96,18.08,19.53,19.53,"10,259,700"
5-Aug-24,17.95,20.1,17.11,18.59,18.59,"15,062,700"
2-Aug-24,19.76,20.21,18.23,18.51,18.51,"10,146,500"
1-Aug-24,20.37,21.21,19.25,20.44,20.44,"14,930,000"
31-Jul-24,17.89,21.28,17.4,20.68,20.68,"16,767,300"
30-Jul-24,18.99,20.37,16.98,17.52,17.52,"12,631,400"
29-Jul-24,18.8,19.59,17.89,18.87,18.87,"13,037,200"
26-Jul-24,16.97,19.48,16.89,18.84,18.84,"24,661,200"
25-Jul-24,13.65,16.8,13.6,16.64,16.64,"23,048,900"
24-Jul-24,13.55,14.06,13.26,13.36,13.36,"5,420,900"
23-Jul-24,12.79,14.29,12.75,13.84,13.84,"8,703,900"
22-Jul-24,13.12,13.13,12.37,12.8,12.8,"4,177,000"
19-Jul-24,12.44,13.48,12.24,12.84,12.84,"5,369,600"
18-Jul-24,13.62,13.66,12.32,12.38,12.38,"6,762,400"
17-Jul-24,13.5,14.03,12.88,13.4,13.4,"4,832,600"
16-Jul-24,13.56,13.97,13.15,13.71,13.71,"5,950,100"
15-Jul-24,12.6,13.68,12.57,13.48,13.48,"7,480,800"
