Date,Open,High,Low,Close ,Adj Close ,Volume
3-Oct-24,110.9,114.09,110.63,112.84,112.84,"29,224,500"
2-Oct-24,115.31,116.57,112.22,115.25,115.25,"53,732,800"
1-Oct-24,106.42,112.79,106.15,112.74,112.74,"44,505,000"
30-Sep-24,111.72,112.22,106.11,106.12,106.12,"58,561,500"
27-Sep-24,105.97,109.43,105.73,107.33,107.33,"50,075,200"
26-Sep-24,102.69,105.97,101.76,105.07,105.07,"67,261,600"
25-Sep-24,94.38,96.18,94.06,95.46,95.46,"18,816,600"
24-Sep-24,96.07,97.5,94.4,97.19,97.19,"47,423,200"
23-Sep-24,89.47,91.15,89.32,90.09,90.09,"19,744,100"
20-Sep-24,89.22,89.52,88.05,88.29,88.29,"12,277,000"
19-Sep-24,87.63,88.57,86.95,88.49,88.49,"18,618,400"
18-Sep-24,84.85,85,84.04,84.42,84.42,"7,858,800"
17-Sep-24,84.82,85.77,84.63,84.7,84.7,"10,113,900"
16-Sep-24,84.04,84.38,83.26,83.6,83.6,"11,298,200"
13-Sep-24,84.39,84.89,83.82,84.69,84.69,"8,985,500"
12-Sep-24,85.03,85.68,84.86,85.49,85.49,"10,781,300"
11-Sep-24,83.57,84.84,83.5,84.81,84.81,"11,551,700"
10-Sep-24,83.8,84.3,82.71,83.8,83.8,"15,327,800"
9-Sep-24,80.93,81.63,80.32,81.44,81.44,"10,434,400"
6-Sep-24,82.12,82.62,81.17,81.18,81.18,"11,712,700"
5-Sep-24,82.11,83.01,82,82.43,82.43,"8,461,000"
4-Sep-24,82.87,83.4,82.3,82.47,82.47,"11,114,100"
3-Sep-24,81.78,83.02,81.7,82.27,82.27,"11,638,200"
30-Aug-24,84.72,84.75,82.58,83.34,83.34,"20,027,300"
29-Aug-24,81.24,81.46,80.46,81.02,81.02,"14,154,200"
28-Aug-24,81.13,81.28,79.21,79.62,79.62,"14,024,400"
27-Aug-24,82.27,82.65,81.27,81.45,81.45,"9,026,100"
26-Aug-24,81.89,82.31,80.37,81.76,81.76,"29,321,700"
23-Aug-24,84.9,85.79,84.36,85.41,85.41,"17,318,000"
22-Aug-24,83.5,83.79,81.83,82.96,82.96,"9,729,000"
21-Aug-24,81.85,83.8,81.71,83.53,83.53,"14,690,000"
20-Aug-24,82.46,82.6,80.78,81.04,81.04,"17,880,100"
19-Aug-24,83.98,84.9,83.49,83.91,83.91,"14,751,000"
16-Aug-24,82.05,84.16,81.98,83.18,83.18,"25,249,200"
15-Aug-24,77.9,81.88,77.74,79.54,79.54,"31,619,400"
14-Aug-24,80.55,80.98,78.07,79.47,79.47,"18,058,100"
