Date,Open,High,Low,Close ,Adj Close ,Volume
3-Oct-24,108.61,111.24,107.67,109.23,109.23,"6,398,500"
2-Oct-24,116.04,116.25,112.14,115.13,115.13,"11,697,100"
1-Oct-24,105.75,110.4,104.81,110.28,110.28,"6,166,600"
30-Sep-24,109.27,111.05,104.84,105.29,105.29,"10,225,400"
27-Sep-24,104.16,107.67,103.07,105.17,105.17,"8,504,200"
26-Sep-24,101.95,104.84,100.35,102.56,102.56,"14,095,800"
25-Sep-24,92.3,95.48,91.83,94.01,94.01,"5,029,800"
24-Sep-24,92.8,94.89,91.62,94.81,94.81,"7,989,400"
23-Sep-24,87.07,89.69,87,88.28,88.28,"3,521,500"
20-Sep-24,87.09,87.58,86.19,86.24,86.24,"1,850,600"
19-Sep-24,87.25,87.6,86,87.02,87.02,"3,288,900"
18-Sep-24,85.56,85.65,84.2,84.67,84.67,"1,601,300"
17-Sep-24,85.01,86.74,84.97,85.39,85.39,"1,794,300"
16-Sep-24,84.6,85.05,83.89,84.08,84.08,"1,614,600"
13-Sep-24,83.88,84.09,83.33,83.65,83.65,"1,983,000"
12-Sep-24,83.73,84.44,83.24,84.07,84.07,"1,358,700"
11-Sep-24,82.87,84.39,82.6,83.95,83.95,"1,972,300"
10-Sep-24,82.17,82.42,80.81,82.05,82.05,"1,808,300"
9-Sep-24,80.99,82.04,80.86,81.63,81.63,"1,504,500"
6-Sep-24,82.22,82.5,81,81.01,81.01,"2,152,500"
5-Sep-24,82.08,83.69,82.08,82.81,82.81,"1,313,000"
4-Sep-24,82.91,83.23,82.21,82.38,82.38,"1,561,000"
3-Sep-24,82.67,83.99,82.58,83.41,83.41,"1,486,900"
30-Aug-24,85.4,85.46,84.08,84.62,84.62,"1,898,100"
29-Aug-24,83.72,84.1,83.24,83.82,83.82,"1,547,900"
28-Aug-24,84.11,84.47,81.92,82.36,82.36,"2,738,900"
27-Aug-24,86,86.63,84.79,84.82,84.82,"1,911,800"
26-Aug-24,85.62,87.5,85.3,86.22,86.22,"3,401,000"
23-Aug-24,84.19,86.1,84.04,85.7,85.7,"3,427,000"
22-Aug-24,87.45,88,84.86,85.79,85.79,"6,374,200"
21-Aug-24,88.14,89.85,87.81,89.74,89.74,"3,571,800"
20-Aug-24,89.35,89.71,87.74,87.98,87.98,"2,724,800"
19-Aug-24,89,90.45,88.95,90.18,90.18,"3,165,000"
16-Aug-24,86.66,89.1,86.66,88.97,88.97,"4,493,900"
15-Aug-24,84.88,86.95,84.83,86.18,86.18,"2,503,900"
14-Aug-24,85.29,86.02,83.25,83.99,83.99,"3,181,000"
13-Aug-24,85.02,86.54,84.9,86.2,86.2,"1,540,500"
12-Aug-24,84.91,86.06,84.83,85.23,85.23,"1,806,600"
9-Aug-24,85.39,85.79,84.63,85.1,85.1,"1,888,500"
8-Aug-24,83.19,86.97,82.82,86.54,86.54,"3,305,700"
7-Aug-24,83.9,84.06,81.77,82.01,82.01,"2,491,800"
6-Aug-24,81.95,83.97,81.34,83.01,83.01,"2,086,200"
5-Aug-24,80.18,82.94,79.68,82.39,82.39,"3,516,700"
2-Aug-24,85,85.18,82.91,84.49,84.49,"3,226,300"
1-Aug-24,88.4,88.47,86.17,86.42,86.42,"4,180,400"
31-Jul-24,89.89,90.1,88.51,88.57,88.57,"2,467,900"
30-Jul-24,89.79,89.8,88.24,88.74,88.74,"2,861,700"
29-Jul-24,88.96,90.73,88.72,90.5,90.5,"2,888,600"
26-Jul-24,87.74,89.33,87.38,88.98,88.98,"2,065,900"
25-Jul-24,88.54,89.34,87.78,87.79,87.79,"2,185,100"
24-Jul-24,89.94,90.89,88.38,88.75,88.75,"2,507,700"
23-Jul-24,90.39,90.77,89.78,90.37,90.37,"2,283,300"
22-Jul-24,92,92.59,90.74,92.27,92.27,"2,859,300"
19-Jul-24,90.68,90.8,89.21,90.37,90.37,"2,932,700"
18-Jul-24,90.85,92.61,90.4,90.9,90.9,"3,544,700"
17-Jul-24,92.85,92.99,90.65,91.09,91.09,"4,330,800"
16-Jul-24,92.29,94.65,91.78,93.73,93.73,"4,258,100"
15-Jul-24,95.13,95.13,91.69,93.15,93.15,"7,982,700"
12-Jul-24,103.36,104.7,98.75,99.07,99.07,"8,392,000"
11-Jul-24,100.01,104.43,99.4,100.67,100.67,"11,258,200"
10-Jul-24,98.59,101.3,96.54,97.94,97.94,"13,443,400"
9-Jul-24,88.45,96.25,87.96,95.4,95.4,"11,656,300"
8-Jul-24,88.51,88.68,86.94,87.95,87.95,"2,240,000"
5-Jul-24,88.55,89.2,87.82,88.97,88.97,"2,226,400"
3-Jul-24,88.39,90.3,88.34,90.06,90.06,"2,798,800"
2-Jul-24,86,87.27,85.08,86.87,86.87,"2,569,100"
1-Jul-24,86.61,87.65,85.93,86.21,86.21,"2,613,800"
28-Jun-24,87.15,87.6,86.43,86.48,86.48,"2,272,200"
27-Jun-24,88.19,88.41,87.01,87.04,87.04,"2,434,900"
26-Jun-24,88.65,89.06,87.82,88.22,88.22,"1,702,000"
25-Jun-24,88.6,89.19,88.33,88.55,88.55,"1,892,100"
24-Jun-24,88.5,89.82,88.4,88.73,88.73,"2,300,500"
21-Jun-24,89,89.27,88.26,88.59,88.59,"2,857,400"
20-Jun-24,90.98,91.28,88.48,88.81,88.81,"4,481,600"
18-Jun-24,90.48,91.43,90.16,90.87,90.87,"2,336,300"
17-Jun-24,92.22,92.4,90.83,91.41,91.41,"3,197,900"
14-Jun-24,93.55,93.65,91.78,91.99,91.99,"3,891,500"
13-Jun-24,94.5,96.52,93.93,93.99,93.99,"2,950,700"
12-Jun-24,94.59,94.74,93.51,94.38,94.38,"2,469,400"
11-Jun-24,94.97,95.13,93.32,93.95,93.95,"3,172,200"
10-Jun-24,95.9,95.98,94.82,95.48,95.48,"2,699,700"
7-Jun-24,96.74,97.39,95.64,95.89,95.89,"3,469,200"
6-Jun-24,97.61,97.96,97.05,97.76,97.76,"2,492,400"
5-Jun-24,95.67,97.41,95.41,97.4,97.4,"3,505,600"
4-Jun-24,95.97,96.52,94.7,94.85,94.85,"2,764,000"
3-Jun-24,97.57,97.8,95.02,95.67,95.67,"3,342,900"
31-May-24,97.15,97.8,96.54,97.2,97.2,"2,827,200"
30-May-24,98.57,99.28,98.05,98.91,98.91,"2,531,600"
29-May-24,98.5,99.1,97.94,98.47,98.47,"2,290,800"
28-May-24,100.15,100.91,99.44,99.76,99.76,"3,054,300"
24-May-24,101.23,101.45,100.05,100.28,100.28,"2,654,900"
23-May-24,102.23,104.03,100.71,101.43,101.43,"3,262,000"
22-May-24,104.38,104.51,102.28,102.41,102.41,"3,172,200"
21-May-24,105.75,105.9,104.52,105.14,105.14,"3,738,700"
20-May-24,109.5,110.4,108.37,108.87,108.87,"2,576,600"
17-May-24,111.06,112.35,108.88,110.58,110.58,"6,284,900"
16-May-24,108.16,113.08,104.63,112.59,112.59,"9,228,800"
15-May-24,111.39,111.39,108.28,110.75,110.75,"4,140,500"
14-May-24,110.84,110.86,108.55,109.42,109.42,"2,764,200"
13-May-24,109.54,112.75,109.36,111.79,111.79,"3,632,900"
10-May-24,110.25,110.54,107.93,108.66,108.66,"2,806,600"
9-May-24,110.4,111.72,109.61,110.87,110.87,"1,411,600"
8-May-24,108.19,109.93,107.9,109.6,109.6,"1,684,700"
7-May-24,110.71,110.94,108.8,110.53,110.53,"3,102,400"
6-May-24,113.44,115.39,112.28,113.33,113.33,"1,881,100"
3-May-24,112.95,113.87,111.5,113.41,113.41,"3,724,500"
2-May-24,107.86,112.55,107.77,111.75,111.75,"6,912,900"
1-May-24,103.5,105.52,102.88,104.32,104.32,"2,640,000"
30-Apr-24,105.49,106.14,103.29,103.4,103.4,"3,586,800"
29-Apr-24,104.88,107.8,104.05,106.17,106.17,"9,599,700"
26-Apr-24,102.5,103.37,100.28,100.52,100.52,"4,816,700"
25-Apr-24,98.85,100.14,98.36,99.9,99.9,"1,570,600"
24-Apr-24,99.67,99.92,98.26,99.19,99.19,"2,939,400"
23-Apr-24,97.83,98.75,97.27,98.23,98.23,"2,364,300"
22-Apr-24,95.5,98.05,94.55,97.24,97.24,"2,853,000"
19-Apr-24,94.63,95.45,94.45,95.05,95.05,"1,797,400"
18-Apr-24,95.29,96.58,94.86,95.58,95.58,"2,597,700"
17-Apr-24,95.61,95.89,94.25,94.41,94.41,"2,852,200"
16-Apr-24,95.85,96.9,94.64,96.12,96.12,"3,345,300"
15-Apr-24,98.49,98.7,95.95,96.21,96.21,"3,474,700"
12-Apr-24,100.37,100.5,97.37,97.54,97.54,"5,297,400"
11-Apr-24,102.07,102.49,101.14,102.32,102.32,"2,043,900"
10-Apr-24,103,103.59,101.27,101.61,101.61,"2,899,300"
9-Apr-24,103.39,103.96,102.82,103.5,103.5,"2,484,600"
8-Apr-24,103.58,104.42,102.47,103.05,103.05,"4,438,500"
5-Apr-24,108.22,108.39,106.31,106.49,106.49,"3,054,800"
4-Apr-24,108.63,109.91,108.27,108.47,108.47,"2,415,500"
3-Apr-24,107.36,108.37,106.55,108.32,108.32,"1,918,000"
2-Apr-24,107,109.13,106.54,108.53,108.53,"2,000,300"
1-Apr-24,107,109.25,106.63,108.44,108.44,"3,001,700"
28-Mar-24,105.95,107.33,104.97,105.28,105.28,"3,016,200"
27-Mar-24,102.69,105,102.53,104.99,104.99,"3,087,500"
26-Mar-24,104.57,106.58,103.6,103.66,103.66,"4,040,400"
25-Mar-24,104.33,105.99,102.01,105.66,105.66,"6,544,800"
22-Mar-24,105.68,105.7,101.33,102.18,102.18,"6,088,900"
21-Mar-24,103.58,103.7,101.65,101.7,101.7,"2,564,200"
20-Mar-24,104.72,105.31,102.77,103.89,103.89,"2,428,200"
19-Mar-24,104,104.27,102.71,104.17,104.17,"1,541,800"
18-Mar-24,104.15,105.33,103.91,104.77,104.77,"1,673,000"
15-Mar-24,103.94,104.95,103.62,103.86,103.86,"1,965,900"
14-Mar-24,106.12,106.27,103.82,104.64,104.64,"2,693,000"
13-Mar-24,108,111.02,107.81,107.89,107.89,"4,797,400"
12-Mar-24,103.24,105.55,102.6,105.27,105.27,"4,533,200"
11-Mar-24,100.3,102.51,100.07,101.29,101.29,"3,297,700"
8-Mar-24,98.21,99.77,97.99,98.27,98.27,"2,322,300"
