Date,Open,High,Low,Close ,Adj Close ,Volume
3-Oct-24,75.67,76.8,75.48,76.07,76.07,"430,700"
2-Oct-24,76.5,76.62,75.34,76.32,76.32,"568,000"
1-Oct-24,72.17,74.97,71.99,74.5,74.5,"1,135,300"
30-Sep-24,72.35,72.76,70.87,70.96,70.96,"565,400"
27-Sep-24,70.16,71.25,70.07,70.84,70.84,"649,100"
26-Sep-24,68.01,68.77,67.03,68.2,68.2,"482,100"
25-Sep-24,64.83,65.69,64.78,65.05,65.05,"161,900"
24-Sep-24,63.76,65.96,63.75,65.8,65.8,"469,300"
23-Sep-24,61.36,62.65,61.36,62.23,62.23,"313,800"
20-Sep-24,62.3,62.95,62.3,62.57,62.57,"172,900"
19-Sep-24,62.45,63.44,62.45,63.21,63.21,"186,800"
18-Sep-24,62.5,62.73,61.8,62.17,62.17,"604,800"
17-Sep-24,62,62.49,61.76,61.95,61.95,"172,800"
16-Sep-24,61.64,61.78,61.1,61.35,61.35,"202,100"
13-Sep-24,62,62,61.11,61.28,61.28,"162,400"
12-Sep-24,60.95,61.22,60.75,61.18,61.18,"196,500"
11-Sep-24,61.11,61.99,61.1,61.92,61.92,"285,400"
10-Sep-24,60.3,60.94,59.93,60.16,60.16,"174,600"
9-Sep-24,60,60.64,59.93,60.61,60.61,"323,500"
6-Sep-24,60.01,60.83,59.65,59.85,59.85,"208,100"
5-Sep-24,60.2,60.91,60.2,60.83,60.83,"607,800"
4-Sep-24,59.75,60.33,59.75,60.12,60.12,"145,500"
3-Sep-24,59.89,60.2,59.6,59.7,59.7,"191,400"
30-Aug-24,61.29,61.5,60.63,60.96,60.96,"352,900"
29-Aug-24,58.5,58.71,57.8,58.46,58.46,"165,600"
28-Aug-24,57.87,57.87,56.63,56.68,56.68,"284,600"
27-Aug-24,58.31,58.73,58.12,58.38,58.38,"205,500"
26-Aug-24,58.22,58.5,57.8,57.84,57.84,"232,300"
23-Aug-24,57.65,58.8,57.65,58.12,58.12,"147,400"
22-Aug-24,58.04,58.87,57.52,57.54,57.54,"132,600"
21-Aug-24,58.02,58.02,57.52,57.88,57.88,"175,600"
20-Aug-24,58,58,56.54,56.55,56.55,"169,400"
19-Aug-24,57.14,57.46,57.05,57.35,57.35,"155,900"
16-Aug-24,56.2,57.14,56.2,57.06,57.06,"172,500"
15-Aug-24,55.69,55.99,54.72,55.79,55.79,"235,900"
14-Aug-24,54.99,55.06,54.4,54.72,54.72,"613,100"
13-Aug-24,55.25,55.49,54.65,55.14,55.14,"217,200"
12-Aug-24,54.62,55.5,54.6,54.7,54.7,"110,500"
9-Aug-24,54.71,55,54.6,54.99,54.99,"138,300"
8-Aug-24,53.1,54.06,53.1,53.95,53.95,"202,800"
7-Aug-24,54.02,54.5,53.59,53.77,53.77,"177,700"
6-Aug-24,54.2,54.2,53.53,53.85,53.85,"191,800"
5-Aug-24,52.5,54.73,52.5,54.7,54.7,"932,200"
2-Aug-24,55.85,56.08,55.6,55.76,55.76,"178,200"
1-Aug-24,58.78,58.78,57.03,57.26,57.26,"192,300"
31-Jul-24,58.75,59.7,58.75,59.53,59.53,"303,800"
30-Jul-24,57.99,57.99,57.35,57.35,57.35,"220,300"
29-Jul-24,59.48,59.88,58.93,59.3,59.3,"165,500"
26-Jul-24,60.06,60.81,60.06,60.69,60.69,"122,400"
25-Jul-24,59.7,60.7,59.7,60.47,60.47,"293,000"
24-Jul-24,59.93,59.93,59.06,59.12,59.12,"277,600"
23-Jul-24,61.19,61.34,60.6,60.7,60.7,"476,700"
22-Jul-24,62.73,63.29,62.56,63.15,63.15,"195,100"
19-Jul-24,61.9,62.25,61.85,62.05,62.05,"82,000"
18-Jul-24,61.46,61.88,61.1,61.18,61.18,"145,200"
17-Jul-24,61.58,61.58,60.6,60.75,60.75,"215,900"
16-Jul-24,61.3,62.06,61.3,61.93,61.93,"153,600"
15-Jul-24,62.92,62.92,62.18,62.25,62.25,"163,400"
12-Jul-24,63.12,63.48,62.81,63.05,63.05,"232,600"
11-Jul-24,61.51,62.58,61.51,62.58,62.58,"207,900"
10-Jul-24,61,61.34,60.62,61.31,61.31,"237,500"
9-Jul-24,59.98,60.49,59.89,60.4,60.4,"266,000"
8-Jul-24,59.53,59.75,59.36,59.45,59.45,"159,800"
5-Jul-24,59.73,60.5,59.5,60.1,60.1,"211,100"
3-Jul-24,58.77,59.74,58.74,59.5,59.5,"134,200"
2-Jul-24,58.13,59.29,58.13,58.96,58.96,"163,500"
1-Jul-24,59.38,59.8,58.5,59.74,59.74,"141,500"
28-Jun-24,58.85,59.95,58.85,59.08,59.08,"102,500"
27-Jun-24,58.65,59.12,58.44,58.75,58.75,"194,600"
26-Jun-24,60.49,60.77,60.11,60.44,60.44,"161,700"
25-Jun-24,61,61.15,60.7,60.82,60.82,"151,700"
24-Jun-24,60.85,61.65,60.39,61.38,61.38,"178,300"
21-Jun-24,60.34,60.5,60.14,60.39,60.39,"203,700"
20-Jun-24,60.49,60.84,60.19,60.48,60.48,"223,700"
18-Jun-24,59.3,60.47,59.3,60.45,60.45,"792,800"
17-Jun-24,58.76,59.5,58.52,59.38,59.38,"267,300"
14-Jun-24,58.26,58.43,57.98,58.2,58.2,"132,700"
13-Jun-24,59.27,59.63,58.49,58.66,58.66,"478,600"
12-Jun-24,0.86 Dividend,,,,,
12-Jun-24,56.99,57.48,56.85,57.01,57.01,"563,100"
11-Jun-24,58.87,58.87,58.02,58.56,57.7,"185,300"
10-Jun-24,57.2,57.84,57.19,57.54,56.7,"137,900"
7-Jun-24,58.26,58.5,57.47,57.63,56.79,"111,200"
6-Jun-24,58.51,58.89,58.35,58.54,57.68,"225,200"
5-Jun-24,59.61,59.95,59.38,59.95,59.07,"216,000"
4-Jun-24,59,59.49,58.64,58.78,57.92,"238,900"
