Date,Open,High,Low,Close ,Adj Close ,Volume
3-Oct-24,43,44.83,42.81,44.6,44.6,"30,152,000"
2-Oct-24,46.64,46.64,43.73,44.8,44.8,"58,760,400"
1-Oct-24,39.79,43,39.65,42.93,42.93,"36,322,900"
30-Sep-24,42.38,42.68,39.81,40,40,"49,687,700"
27-Sep-24,39.51,39.94,38.81,39.9,39.9,"44,906,900"
26-Sep-24,37.06,38.18,36.93,37.99,37.99,"53,720,600"
25-Sep-24,32.51,33.37,32.33,33.21,33.21,"25,649,800"
24-Sep-24,32.49,33.91,32.03,33.9,33.9,"45,862,000"
23-Sep-24,29.11,29.97,29.09,29.76,29.76,"16,394,900"
20-Sep-24,28.86,28.9,28.39,28.55,28.55,"10,083,000"
19-Sep-24,28.43,28.79,28.17,28.74,28.74,"21,141,900"
18-Sep-24,27.02,27.14,26.67,26.92,26.92,"10,352,800"
17-Sep-24,26.66,27.39,26.63,26.92,26.92,"15,021,400"
16-Sep-24,26.36,26.44,26.17,26.3,26.3,"6,960,900"
13-Sep-24,26.59,26.65,26.12,26.24,26.24,"9,395,800"
12-Sep-24,26.68,26.75,26.4,26.65,26.65,"6,952,000"
11-Sep-24,26.06,26.58,26,26.56,26.56,"8,239,800"
10-Sep-24,26.19,26.38,25.91,25.98,25.98,"8,632,400"
9-Sep-24,25.73,25.96,25.61,25.89,25.89,"9,164,800"
6-Sep-24,26.3,26.47,26,26.07,26.07,"10,172,900"
5-Sep-24,26.8,26.92,26.27,26.38,26.38,"12,589,000"
4-Sep-24,27.1,27.14,26.7,26.83,26.83,"14,148,300"
3-Sep-24,26.52,26.87,26.45,26.7,26.7,"9,254,200"
30-Aug-24,27.34,27.41,26.76,27,27,"21,636,900"
29-Aug-24,26.49,26.68,26.27,26.37,26.37,"11,472,300"
28-Aug-24,26.42,26.45,25.82,25.94,25.94,"14,987,600"
27-Aug-24,26.8,26.88,26.33,26.38,26.38,"22,812,900"
26-Aug-24,25.5,26.03,25.24,25.8,25.8,"26,881,600"
23-Aug-24,27.01,27.04,26.64,26.83,26.83,"17,486,200"
22-Aug-24,27.18,27.19,26.17,26.64,26.64,"28,987,000"
21-Aug-24,26.04,27.04,25.85,27.02,27.02,"86,065,300"
