Date,Open,High,Low,Close ,Adj Close,Volume
3-Oct-24,19.63,20.75,19.16,20.49,20.49,-
2-Oct-24,19.65,20.36,18.58,18.9,18.9,-
1-Oct-24,16.96,20.73,16.61,19.26,19.26,-
30-Sep-24,17.01,17.79,16.47,16.73,16.73,-
27-Sep-24,15.64,16.97,15.2,16.96,16.96,-
26-Sep-24,15.06,15.83,14.9,15.37,15.37,-
25-Sep-24,15.82,15.82,15.17,15.41,15.41,-
24-Sep-24,15.87,16.67,15.27,15.39,15.39,-
23-Sep-24,16.71,16.95,15.75,15.89,15.89,-
20-Sep-24,16.35,16.68,15.81,16.15,16.15,-
19-Sep-24,17.21,17.27,16.21,16.33,16.33,-
18-Sep-24,17.58,19.39,17.11,18.23,18.23,-
17-Sep-24,17.16,18.08,16.67,17.61,17.61,-
16-Sep-24,17.16,17.69,16.91,17.14,17.14,-
13-Sep-24,17.03,17.18,16.23,16.56,16.56,-
12-Sep-24,17.62,18.59,16.89,17.07,17.07,-
11-Sep-24,19.41,21.41,17.55,17.69,17.69,-
10-Sep-24,19.86,20.74,18.9,19.08,19.08,-
9-Sep-24,21.32,21.41,19.29,19.45,19.45,-
6-Sep-24,21.98,23.76,18.83,22.38,22.38,-
5-Sep-24,20.75,21.53,19.21,19.9,19.9,-
4-Sep-24,23.2,23.31,19.34,21.32,21.32,-
3-Sep-24,15.76,21.99,15.71,20.72,20.72,-
30-Aug-24,15.67,16.04,14.78,15,15,-
29-Aug-24,16.54,16.57,15.19,15.65,15.65,-
28-Aug-24,15.51,17.89,15.46,17.11,17.11,-
27-Aug-24,16.21,16.81,15.37,15.43,15.43,-
26-Aug-24,16.27,16.67,15.81,16.15,16.15,-
23-Aug-24,17.12,17.21,15.61,15.86,15.86,-
22-Aug-24,16.27,18.06,15.76,17.55,17.55,-
21-Aug-24,16.25,17.17,15.92,16.27,16.27,-
20-Aug-24,14.89,15.93,14.78,15.88,15.88,-
19-Aug-24,15.94,16.07,14.46,14.65,14.65,-
16-Aug-24,15.29,15.76,14.65,14.8,14.8,-
15-Aug-24,16.27,16.68,14.77,15.23,15.23,-
14-Aug-24,18.41,18.49,16.12,16.19,16.19,-
13-Aug-24,20.06,20.79,17.95,18.12,18.12,-
12-Aug-24,20.79,21.19,18.89,20.71,20.71,-
